topic,rank,term,weight
8,11,bantu,0.006940469611436129
8,12,islam,0.006901727523654699
8,13,polisi,0.0066938153468072414
8,14,masjid,0.006658736616373062
8,15,baik,0.006583485286682844
9,1,hukum,0.025572888553142548
9,2,putus,0.010867161676287651
9,3,nyata,0.009829756803810596
9,4,sidang,0.009555633179843426
9,5,kait,0.007635414134711027
9,6,adil,0.0075613511726260185
9,7,kasus,0.007264888379722834
9,8,dakwa,0.007124865427613258
9,9,perkara,0.007008396554738283
9,10,bukti,0.006890100426971912
9,11,orang,0.0066008660942316055
9,12,pihak,0.006351801101118326
9,13,atas,0.006309141404926777
9,14,minta,0.006028423551470041
9,15,hakim,0.005867562256753445
10,1,milu,0.030242258682847023
10,2,thailand,0.023374415934085846
10,3,mk,0.018632978200912476
10,4,pilih,0.017663346603512764
10,5,putus_mk,0.014903463423252106
10,6,satu,0.01236865483224392
10,7,pilkada,0.0113880829885602
10,8,laksana,0.010387741029262543
10,9,kurban,0.009574725292623043
10,10,sapi,0.008390148170292377
10,11,daerah,0.008262185379862785
10,12,anggota_dprd,0.0074640256352722645
10,13,sama,0.007320019882172346
10,14,pisah,0.007063614204525948
10,15,raja,0.006956380791962147
11,1,warga,0.019739674404263496
11,2,rumah,0.01607745699584484
11,3,jalan,0.015961816534399986
11,4,lokasi,0.013436133973300457
11,5,mobil,0.011386233381927013
11,6,camat,0.011219623498618603
11,7,kendara,0.010406358167529106
11,8,bakar,0.010183200240135193
11,9,akibat,0.009579465724527836
11,10,orang,0.008163973689079285
11,11,hingga,0.007704467978328466
11,12,celaka,0.007406503893435001
11,13,kondisi,0.007128884084522724
11,14,desa,0.006561321672052145
11,15,bangun,0.00632130354642868
12,1,usaha,0.016481513157486916
12,2,tambang,0.00797954574227333
12,3,pihak,0.006586364004760981
12,4,terbang,0.006550493184477091
12,5,dagang,0.006441458128392696
12,6,produk,0.006326377857476473
12,7,minta,0.006073248106986284
12,8,tumpang,0.005886227358132601
12,9,jual,0.005883318837732077
12,10,kait,0.005579477641731501
12,11,ekspor,0.005464486312121153
12,12,masuk,0.00543772429227829
12,13,lingkung,0.0049904645420610905
12,14,izin,0.004950141068547964
12,15,tuju,0.004843308590352535
13,1,korban,0.03285534679889679
13,2,orang,0.016270505264401436
13,3,anak,0.01604689285159111
13,4,polisi,0.011637028306722641
13,5,jokowi,0.010801739990711212
13,6,lapor,0.010494962334632874
13,7,temu,0.010478497482836246
13,8,aku,0.010146117769181728
13,9,tahu,0.008537459187209606
13,10,duga,0.00799181591719389
13,11,keluarga,0.007985910400748253
13,12,lihat,0.007971759885549545
13,13,sempat,0.007704501040279865
13,14,kemudian,0.00764944264665246
13,15,rumah,0.007473649922758341
14,1,main,0.03605787083506584
14,2,timnas,0.020869581028819084
14,3,tim,0.01704474724829197
14,4,hasil,0.014853480271995068
14,5,menit,0.014606835320591927
14,6,tanding,0.014566578902304173
14,7,laga,0.014444289728999138
14,8,menang,0.012960784137248993
14,9,latih,0.012304439209401608
14,10,kalah,0.010648876428604126
14,11,lawan,0.009598560631275177
14,12,gol,0.009496408514678478
14,13,malaysia,0.00872900802642107
14,14,buat,0.008429715409874916
14,15,vietnam,0.008115239441394806
15,1,tom_lembong,0.017502427101135254
15,2,uu_ite,0.014754161238670349
15,3,jawab,0.013001687824726105
15,4,apa,0.01178942434489727
15,5,kan,0.011398999020457268
15,6,kalau,0.010363050736486912
15,7,orang,0.010255726985633373
15,8,lihat,0.009807598777115345
15,9,pernah,0.009147877804934978
15,10,sidang,0.008902323432266712
15,11,tom,0.008177480660378933
15,12,jaksa,0.008089938201010227
15,13,buat,0.007474633865058422
15,14,tanya,0.007434129249304533
15,15,aku,0.007217935286462307
16,1,jemaah,0.01744450256228447
16,2,haji,0.013166367076337337
16,3,gempa,0.011702806688845158
16,4,allah,0.011511161923408508
16,5,muharram,0.011144685558974743
16,6,narkoba,0.010849074460566044
16,7,filipina,0.010470712557435036
16,8,tembak,0.010312991216778755
16,9,jemaah_haji,0.009874173440039158
16,10,kota,0.009611353278160095
16,11,ikut,0.008411395363509655
16,12,puasa,0.008261913433670998
16,13,tahan,0.007742983289062977
16,14,tangkap,0.0075751240365207195
16,15,satu,0.007392531726509333
17,1,program,0.01577501930296421
17,2,didik,0.015074007213115692
17,3,sekolah,0.014524737372994423
17,4,ajar,0.012969416566193104
17,5,masyarakat,0.012493046000599861
17,6,giat,0.011150588281452656
17,7,siswa,0.009594138711690903
17,8,desa,0.009098514914512634
17,9,bangun,0.008998600766062737
17,10,guru,0.007355656940490007
17,11,daerah,0.006750928238034248
17,12,lalu,0.006503492593765259
17,13,harap,0.006386175286024809
17,14,seluruh,0.0062299203127622604
17,15,bantu,0.005975398235023022
18,1,kuat,0.010083045810461044
18,2,usaha,0.008176772855222225
18,3,kerja,0.007993840612471104
18,4,lalu,0.007357329595834017
18,5,ekonomi,0.007198152132332325
18,6,kembang,0.006253503262996674
18,7,koperasi,0.006027959752827883
18,8,nasional,0.005935292225331068
18,9,nilai,0.0057788388803601265
18,10,sistem,0.005699542351067066
18,11,hadir,0.0056161838583648205
18,12,teknologi,0.005377972032874823
18,13,lebih,0.005352282430976629
18,14,bangun,0.0053255814127624035
18,15,dunia,0.005273474380373955
19,1,periksa,0.018532950431108475
19,2,kpk,0.018321555107831955
19,3,sangka,0.015337184071540833
19,4,kait,0.013520283624529839
19,5,sidik,0.011888542212545872
19,6,kasus,0.011533571407198906
19,7,duga,0.010960554704070091
19,8,uang,0.008298585191369057
19,9,jagung,0.00801301933825016
19,10,panggil,0.007937921211123466
19,11,jalan,0.007908912375569344
19,12,pt,0.007906022481620312
19,13,jaksa_agung,0.007853399030864239
19,14,pihak,0.0076783644035458565
19,15,tetap,0.006817594636231661
